pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GO:0007006,0.903301886792453,1,0.0579754757571486,-0.227243721348308,-0.638314315317146,16,Q9V784|Q0E8V7|Q9VD29|Q9Y0V3|Q9W2D6|Q9VVH3
GO:0007007,0.972776769509982,1,0.0425023180036553,0.220230787412055,0.523998489227113,11,Q9VKC8
GO:0007010,0.0269199837996014,0.294165645530243,0.352487857583619,-0.319273641644119,-1.32502019209802,89,P10676|A8DYP0|Q9VHT3|P18432|Q7K5M6|P83967|Q9VJZ5|Q9I7K0|X2JAU8|Q9VB22|P14318|Q9VCH5|Q86BS3|A1Z6P3|Q9I7J0|M9NFC0|P17210|Q8SX68|M9PGG8|A1Z9J3|Q03427|A0A0B4KHJ9
GO:0007015,0.348101265822785,0.7557726373898,0.0860347242455604,0.343763323696996,1.06752011547673,31,Q9W2N0|Q9VU68|P32392|P12080|Q9VPX6|P45888
GO:0007017,0.626470588235294,0.938236326264601,0.0878312634480124,-0.232795762404293,-0.912062391012254,59,Q9VHT3|Q9VJZ5|Q9I7K0|Q9VB22|Q86BS3|A1Z6P3|P17210|M9PGG8|A1Z9J3|Q9W385|Q7KMS3|Q9VCC0
GO:0007018,0.313148788927336,0.742438342435816,0.0972150808846466,0.430286253176269,1.12603809696707,16,Q9NJH0|Q9U4G1|O18332|Q9VJQ6
GO:0007028,0.753022452504318,0.975293507473243,0.0519512476197082,0.302286084510588,0.800493779645081,17,Q9V3I2|O76742|P12370
GO:0007030,0.925058548009368,1,0.0565299525056311,-0.232585406978971,-0.626333613805365,14,Q9W1I8|Q7K3Z3|Q9VF70
GO:0007033,0.791208791208791,0.98775748965863,0.0523759084097997,0.328308188052924,0.758615047146558,10,O76742|O18332|Q9VW73
GO:0007034,0.677029360967185,0.953614292486963,0.0568864160475701,0.328068280117523,0.868768464675187,17,Q7JYX5|O76902|O76742|Q9W4P5
GO:0007043,0.400728597449909,0.786653249636622,0.0860347242455604,0.426881553680151,1.04616413854869,13,Q9VN14|Q9VLT3|P16378|M9NDE3|Q24372
GO:0007049,0.753284671532847,0.975293507473243,0.0442407423477375,0.230349838162294,0.854618933027175,86,P21187|Q7K148|Q9W2E7|Q9VH81|P48596|Q94901|Q9VPL0|Q7K012|O18332|Q9VP57|Q9VE85|Q7KN75|Q95RQ8|Q02748|P48148|Q9NBD7|Q9VB05|P40797|Q9VGP6|Q9VNA5
GO:0007051,0.252955082742317,0.677067273101038,0.132147260608774,-0.406206566714457,-1.1707411080083,17,Q9VJZ5|Q86BS3|A1Z6P3|Q9VCC0|Q9VQQ0|P25171|Q9VQ93|Q24050|P08928
GO:0007052,0.226415094339623,0.639141810570382,0.140406238523342,-0.428280283755306,-1.20301425477046,16,Q9VJZ5|Q86BS3|A1Z6P3|Q9VCC0|Q9VQQ0|P25171|Q9VQ93|Q24050
GO:0007059,0.581560283687943,0.918007819603564,0.0799858801499946,-0.319687248869307,-0.921380978610501,17,Q86BS3|A1Z6P3|Q7JNE1|Q9VCC0|Q7KND8|P25171|Q9VQ93|P08928|Q7KNM2
GO:0007098,0.736470588235294,0.973722858270825,0.0676760401641789,-0.291524426603293,-0.806901078897665,15,Q9VHT3|P17210|M9PGG8|Q9VCC0
