Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 128C, Sample, n/a, Earth_F3	Abundances Count: F8: 128C, Sample, n/a, Earth_F3	Modifications
Q9VHC7	FI21236p1	34.65	17	32	9	1418636.3222	26	
Q9VHC8	LD31448p	10.06	2	2	2	1830.8564	1	
Q9VHE3	GH05665p	1.79	1	1	1	28915.643	1	
Q9VHE4	omega-amidase	20.85	7	16	7	1058326.7415	16	
Q9VHE5	Large ribosomal subunit protein eL34	13.1	3	7	0	332896.76560000004	6	
Q9VHF9	Uncharacterized protein, isoform B	10.11	2	7	2	484420.38	6	
Q9VHG6	Insulator binding factor 2	18.46	4	5	4	129213.886	4	
Q9VHH8	Beag	1.26	1	1	1	6699.9907	1	
Q9VHI1	Hyrax	8.36	4	4	4	31005.61047	4	
Q9VHI8	Uncharacterized protein, isoform A	41.45	13	23	1	2126843.434	21	
Q9VHJ2	LD32381p	9.12	3	3	3	132077.00029999999	3	
Q9VHJ5	Carbonic anhydrase	6.67	2	3	2	3700.5542	1	
Q9VHJ7	LD41978p	4.48	3	3	3	67954.4356	3	
Q9VHL2	T-complex protein 1 subunit eta	46.69	23	50	23	4627229.9715599995	47	
Q9VHM3	LD30467p	8.85	4	4	4	36801.9248	3	
Q9VHN4	GH14121p	12.64	3	4	3	53195.5493	4	
Q9VHN7	transketolase	30.51	16	25	2	1139043.7701	22	
Q9VHQ0	Large ribosomal subunit protein mL66	12.26	2	2	2	25456.881999999998	2	
Q9VHR5	Veneno	2.96	2	2	2	3556.355	1	
Q9VHT3	CG9617 protein	20.79	4	5	4	136349.5772	5	
Q9VHT5	Large ribosomal subunit protein uL1m	13.28	5	5	5	99561.647	5	
Q9VHX2	GH08043p	4.58	2	2	2	61250.301	2	
Q9VHX4	LD24679p	77.51	23	101	23	17982822.451700002	91	
Q9VI04	Beta-ureidopropionase	30.83	9	14	9	426766.73470000003	11	
Q9VI09	GH14494p	52.48	7	29	7	2661404.7087	28	
Q9VI21	Dementin, isoform D	2.98	2	2	0	10135.5402	2	
Q9VI24	LD25151p	4.38	1	1	1	5787.8296	1	
Q9VI53	LD44267p	19.43	7	13	7	154253.899	12	
Q9VI57	Dephospho-CoA kinase domain-containing protein	9.75	2	4	2	88345.61290000001	4	
Q9VI64	LD30995p	46.46	14	42	14	4051262.60616	39	
Q9VI66	GH28833p	15.54	4	6	4	167215.36549999999	6	
Q9VI80	Thawb	2.46	2	4	2	22736.524699999998	4	
Q9VIB5	Carboxylic ester hydrolase	9.97	5	6	4	88257.9339	6	
Q9VIE7	GMP synthase (glutamine-hydrolyzing)	8.64	5	6	5	124245.655	5	
Q9VIE8	Aconitate hydratase, mitochondrial	69.12	50	339	44	68234966.41077	306	
Q9VIF2	GM01519p	11.13	6	8	6	435186.365	7	
Q9VIG0	Malectin domain-containing protein	23.63	9	13	9	575106.75866	12	
Q9VIH1	CG9273 protein	29.27	6	7	6	190059.052	7	
Q9VII5	GEO08323p1	20.13	3	8	3	453074.10076	8	
Q9VII9	Glyoxylate reductase/hydroxypyruvate reductase	9.51	2	2	0	259075.05670000002	2	
Q9VIJ3	FI14214p	45.0	7	10	2	136723.27774000002	7	
Q9VIJ5	GEO05038p1	20.15	2	3	2	30492.686299999998	3	
Q9VIK0	Alpha-methylacyl-CoA racemase, isoform A	11.53	4	4	4	13777.3766	2	
Q9VIK6	Centrocortin, isoform A	20.51	17	19	17	244409.894	15	
Q9VIL2	LD19544p	23.14	4	5	4	55340.473000000005	4	
Q9VIM0	Lysosomal Pro-X carboxypeptidase	14.95	6	12	6	793220.292	12	
Q9VIN9	Small ribosomal subunit protein mS40	21.57	4	5	4	169638.303	5	
Q9VIQ5	RH02620p	29.08	5	7	5	404154.6526	6	
Q9VIQ6	FI17342p1	17.68	4	5	4	64735.43357	5	
Q9VIQ8	Cytochrome c oxidase subunit 4	51.65	13	75	13	11434124.5336	61	
Q9VIS4	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]	5.3	3	3	3	25952.120300000002	3	
Q9VIU3	FI23988p1	3.98	2	2	2	17596.411	2	
Q9VIV6	GH04973p	8.83	3	3	3	185057.15399999998	3	
Q9VIW6	small monomeric GTPase	7.42	2	2	2	57728.381	2	
Q9VIW9	alkaline phosphatase	6.38	3	3	3	5236.43197	2	
Q9VIX1	Galactose-specific C-type lectin, isoform A	20.43	3	5	3	716234.84558	5	
Q9VIX7	Fondue, isoform B	20.62	7	19	1	939397.01016	16	
Q9VJ19	Large ribosomal subunit protein eL30	60.36	6	23	6	1341255.0956	20	
Q9VJ22	GH09876p	5.41	2	2	2	21964.1314	2	
Q9VJ25	Membrane magnesium transporter	16.51	2	3	2	154010.09470000002	3	
Q9VJ28	L-2-hydroxyglutarate dehydrogenase, mitochondrial	24.18	11	20	11	1241402.32603	19	
Q9VJ30	non-specific serine/threonine protein kinase	9.68	9	11	0	230318.6661	9	
Q9VJ43	Sterol carrier protein 2	30.15	14	37	7	2223120.0667	29	
Q9VJ58	Fas-associated factor 2, isoform A	23.06	10	14	10	311364.9775	13	
Q9VJ59	PRA1 family protein	5.31	1	2	1	81183.133	2	
Q9VJ60	GM16226p	17.29	3	4	3	251894.783	4	
Q9VJ61	SD03870p	4.67	2	2	2	9019.741699999999	2	
Q9VJ68	Hydroxylysine kinase	26.14	10	16	10	559885.088	15	
Q9VJ80	LD42267p	8.46	10	12	10	227334.0734	12	
Q9VJ86	Leucine-rich PPR motif-containing protein, mitochondrial	10.41	14	16	13	276024.31078	13	
Q9VJA9	GH07373p	7.69	5	6	0	59680.5982	6	
Q9VJC0	GEO08203p1	37.96	5	8	5	343391.7661	8	
Q9VJD0	Mitochondrial inner membrane protease ATP23	21.2	5	6	5	145071.273	5	
Q9VJD1	Glucosidase 2 subunit beta	24.27	12	24	12	1500237.6175	22	
Q9VJD4	LD24721p	34.44	12	41	12	5289232.8024	35	
Q9VJE3	LD24839p	11.63	6	8	6	95884.8137	7	
Q9VJH8	FI03416p	3.13	2	2	2	12635.6299	2	
Q9VJI5	Protein yellow	16.56	8	9	8	662189.4598	9	
