Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128C, Sample, n/a, Earth_F2	Abundances Count: F5: 128C, Sample, n/a, Earth_F2	Modifications
A1ZBE9	Methionine--tRNA ligase, cytoplasmic	1.76	2	2	2	7127.4156	2	
A1ZBJ2	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial	33.97	18	41	18	764989.2142	37	
A1ZBK7	Crammer	31.65	3	11	3	135236.34914	10	
A1ZBL7	MAP/microtubule affinity-regulating kinase 3	14.7	13	17	0	13549.033	1	
A1ZBM2	Tubulin-binding cofactor B	19.67	6	11	6	419997.9021	11	
A1ZBQ3	Odorant-binding protein 56g, isoform A	46.56	6	11	0	268526.789	11	
A1ZBU5	GNBP-like 3	28.29	3	10	3	170641.75123	9	
A1ZBU6	Uncharacterized protein	3.55	1	1	1	21439.91	1	
A1ZBU8	Uncharacterized protein, isoform A	54.29	10	59	10	2003788.71286	43	
A1ZBV5	BLOC-1-related complex subunit 7	7.62	1	1	1	16376.883	1	
A1ZBW0	Heterogeneous nuclear ribonucleoprotein K, isoform C	25.7	14	31	0	400376.81014	29	
A1ZBX6	lysozyme	9.5	2	2	2	7731.6026	2	
A1ZBY3	Defective proboscis extension response 1, isoform A	3.0	1	1	1	6062.0347	1	
A2VEG3	IP16294p	1.06	1	1	0	3021.678	1	
A4UZL3	Eps15 homology domain containing protein-binding protein 1, isoform F	1.67	1	1	0	4661.0645	1	
A4V0U4	Leukotriene A(4) hydrolase	11.09	7	8	0	146801.2833	8	
A4V2A4	Mushroom-body expressed, isoform G	48.19	15	35	0	1366009.97505	31	
A4V2C3	calcium/calmodulin-dependent protein kinase	5.48	4	4	0	50253.515329999995	4	
A4V3J6	Heterogeneous nuclear ribonucleoprotein at 98DE, isoform F	31.58	9	17	1	210395.733	13	
A4V4F2	Flotillin 2, isoform F	53.88	24	69	0	3205150.1669	67	
A4V4U5	Proline dehydrogenase	53.06	41	101	0	3338860.0754	93	
A4V4V2	DISCO interacting protein 1, isoform B	3.67	2	2	0	6256.841	1	
A8DRW0	Cuticular protein 49Aa	47.22	5	36	5	2749022.9464	35	
A8DY78	Protein-serine/threonine kinase	16.11	7	11	0	240635.7009	11	
A8DY95	Uncharacterized protein, isoform C	2.27	2	2	0	72338.018	2	
A8DYC5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	35.62	3	13	1	832938.073	12	
