Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128C, Sample, n/a, Earth_F1	Abundances Count: F5: 128C, Sample, n/a, Earth_F1	Modifications
Q9W303	Chitinase-like protein Idgf4	64.25	25	96	0	3392532.67854	72	
Q9W334	Small ribosomal subunit protein eS28	63.08	4	26	0	538354.29877	21	
Q9W358	Chaperone Ric-8	10.65	7	8	0	12175.0812	6	
Q9W369	Beta-alanyl-dopamine/carcinine hydrolase	50.65	20	79	20	3052687.72794	72	
Q9W379	Zinc finger protein ZPR1	12.91	6	9	6	30489.56836	7	
Q9W380	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	18.18	2	12	2	382516.01995	9	
Q9W385	Frataxin homolog, mitochondrial	10.0	2	6	2	49911.2425	6	
Q9W3C7	Palmitoyl-protein thioesterase 1	12.42	4	7	0	14588.787	5	
Q9W3E2	Protein PIP82	19.83	23	56	23	175190.37967	41	
Q9W3J5	Phenylalanine--tRNA ligase alpha subunit	14.86	8	17	8	32970.12396	14	
Q9W3K5	Glutamate--cysteine ligase	4.88	4	7	0	27841.724339999997	6	
Q9W3N6	General vesicular transport factor p115	8.37	7	9	7	47943.653600000005	7	
Q9W3T7	UPAR/Ly6 domain-containing protein bou	12.08	2	6	2	111150.9259	6	
Q9W3W8	Large ribosomal subunit protein uL22	14.52	3	5	0	151909.0331	5	
Q9W3Y0	Zinc finger protein 593 homolog	11.11	1	1	1	3814.6602	1	
Q9W3Y4	GAS2-like protein pickled eggs	2.35	3	3	3	8859.8273	2	
Q9W3Z3	Alanine--glyoxylate aminotransferase	5.84	2	2	2	660.65643	1	
Q9W401	Probable citrate synthase, mitochondrial	55.39	30	238	30	18677658.54964	181	
Q9W415	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit wuho	14.86	4	5	4	26255.702400000002	4	
Q9W436	Neprilysin-1	4.24	4	4	4	21639.8325	4	
Q9W445	Malignant T-cell-amplified sequence 1 homolog	15.38	3	9	3	60717.56685	9	
Q9W4K2	Uncharacterized protein CG3556	6.72	4	17	0	79444.33138	13	
Q9W4P5	V-type proton ATPase subunit d 1	36.86	10	24	10	1113183.43589	24	
Q9W4T4	3',5'-cyclic-AMP phosphodiesterase, isoform I	10.34	12	23	0	122827.78684	18	
Q9W4V8	Mitochondrial import inner membrane translocase subunit TIM50-C	12.38	5	7	0	45917.7969	7	
Q9W4X7	Eukaryotic translation initiation factor 3 subunit G-1	18.59	7	21	7	189282.44208	16	
Q9W552	Vacuolar protein sorting-associated protein 26	5.44	3	5	3	56689.6185	4	
Q9W596	Microtubule-associated protein futsch	26.66	89	189	0	1277817.37598	161	
Q9W5E1	RING-box protein 1A	7.41	1	2	0	24661.5556	2	
Q9W5N0	Cytochrome c oxidase assembly factor 7 homolog	32.71	9	25	0	126867.11669	23	
Q9W5N2	Large ribosomal subunit protein eL38	28.57	2	12	0	246554.30964	8	
Q9W5P1	Mediator of RNA polymerase II transcription subunit 21	13.38	3	4	3	5060.9212	2	
Q9W5R8	Large ribosomal subunit protein uL18	33.78	8	14	0	128147.59700000001	13	
Q9W5Y0	Neprilysin-3	2.04	2	3	2	2079.1588	2	
Q9XTL9	Glycogen phosphorylase	31.87	30	75	0	1308094.79851	61	
Q9XTM1	Exocyst complex component 5	2.96	3	3	3	36619.7627	2	
Q9XTN2	Insulin receptor substrate 1	1.96	2	4	0	1799.5197	1	
Q9XY35	Cytochrome b-c1 complex subunit 9	41.82	2	4	2	619144.36	3	
Q9XYM0	Adapter molecule Crk	49.45	11	28	0	523603.68235	27	
Q9XYZ5	DNA damage-binding protein 1	3.95	5	8	5	48982.98486	7	
Q9XZ14	Protein gone early	4.44	4	4	1	9349.7692	2	
Q9XZ58	COP9 signalosome complex subunit 5	10.4	4	7	1	62410.76495	7	
Q9XZ63	Mesencephalic astrocyte-derived neurotrophic factor homolog	34.68	7	22	7	339153.0904	21	
Q9XZH6	V-type proton ATPase subunit G	31.62	5	27	0	347274.7365	20	
Q9XZJ4	Proteasome subunit alpha type-6	44.26	13	36	0	323605.75873	31	
Q9XZL8	Protein sarah	34.25	7	12	0	103099.73756	9	
Q9Y091	Pre-mRNA-splicing regulator female-lethal(2)D	3.73	2	2	0	2498.18288	2	
Q9Y0I1	NuA4 complex subunit EAF3 homolog	11.79	3	6	0	6671.88812	5	
Q9Y0V3	Mitochondrial import inner membrane translocase subunit Tim10B	32.48	4	6	4	31606.32403	5	
Q9Y0Y2	Adenylosuccinate synthetase	32.44	11	27	11	1035437.73975	24	
Q9Y105	Probable glutamine--tRNA ligase	3.6	3	3	3	316341.8774	3	
Q9Y1A3	Mitochondrial import inner membrane translocase subunit Tim8	63.64	6	18	0	1563142.4578800001	17	
X2JAU8	Protein nervous wreck	29.3	30	114	30	2092647.54167	101	
A0A023GPM5	Diacylglycerol kinase	7.87	8	12	0	24911.301600000003	8	
A0A0B4JCQ7	Suppressor of variegation 2-10, isoform K	5.03	3	3	0	20315.5795	3	
A0A0B4JCR9	Uncharacterized protein, isoform D	5.04	2	2	0	752.23615	1	
A0A0B4JCT7	Jabba, isoform F	19.37	11	28	0	165259.09186000002	19	
A0A0B4JCW4	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	63.86	25	140	0	246167.182	6	
A0A0B4JCX2	RIM-binding protein, isoform G	5.01	9	16	0	34136.93529	11	
A0A0B4JCY5	Myosin heavy chain-like, isoform H	8.07	5	5	0	4008.6429	3	
A0A0B4JCY6	Cheerio, isoform I	31.43	63	129	0	2163402.12835	113	
A0A0B4JCZ0	Oxysterol-binding protein	4.44	5	8	0	10663.67198	5	
A0A0B4JD18	Related to the N terminus of tre oncogene, isoform E	7.48	4	6	0	23295.00834	5	
A0A0B4JD47	Missing-in-metastasis, isoform E	4.61	4	4	0	502.25604	1	
A0A0B4JD57	Zipper, isoform F	9.7	20	33	0	5516.839279999999	2	
A0A0B4JD97	Transforming acidic coiled-coil protein, isoform K	12.56	17	31	0	143574.44458	25	
A0A0B4K615	Smallish, isoform O	8.18	11	16	0	61116.50816	12	
A0A0B4K618	Fragile X messenger ribonucleoprotein 1, isoform G	8.5	6	10	0	22162.48743	9	
A0A0B4K620	Oxidation resistance protein 1	13.76	18	38	0	262400.7978	34	
A0A0B4K661	Tropomyosin 1, isoform Q	75.2	34	259	0	5172318.58297	163	
A0A0B4K663	Non-specific lethal 1, isoform N	4.02	5	8	0	17766.386570000002	6	
A0A0B4K6C8	Uncharacterized protein, isoform G	5.14	6	7	0	23545.16972	4	
A0A0B4K6I1	Scribble, isoform N	9.51	23	39	0	261383.85426	33	
A0A0B4K6K8	Musashi, isoform D	12.73	5	9	0	47807.40044	8	
A0A0B4K6P4	Hephaestus, isoform W	2.88	3	5	0	21962.1017	5	
A0A0B4K6Z2	Dystrobrevin	11.84	8	16	0	52714.776249999995	10	
A0A0B4K709	Uncharacterized protein, isoform E	2.78	2	3	0	1756.69976	2	
A0A0B4K716	Diacylglycerol kinase	5.54	9	14	0	57082.22564	12	
A0A0B4K765	Paired amphipathic helix protein Sin3a	1.98	4	4	0	7334.441000000001	2	
A0A0B4K774	Abelson interacting protein, isoform D	15.72	8	16	0	78089.00657	11	
A0A0B4K775	Golgin 97, isoform B	5.14	3	4	0	5186.679	2	
A0A0B4K7A5	Hu li tai shao, isoform Q	53.59	36	151	0	4313705.72493	128	
A0A0B4K7B0	Smooth, isoform O	19.03	8	23	0	105533.74685	21	
A0A0B4K7C1	Aspartyl beta-hydroxylase, isoform H	3.86	4	6	0	30519.63263	5	
A0A0B4K7D8	Uncharacterized protein, isoform B	4.31	2	3	0	13551.42497	3	
A0A0B4K7E3	Phosphatidylinositol 4-phosphate 5-kinase 59B, isoform F	7.72	4	7	0	13366.71483	4	
A0A0B4K7H0	Tetratricopeptide repeat domain 7, isoform B	3.29	3	3	0	6331.311	1	
A0A0B4K7H3	Eucalyptus, isoform B	81.25	8	43	2	2384198.9227	41	
A0A0B4K7H7	Down syndrome cell adhesion molecule 1, isoform BY (Fragment)	2.62	5	6	0	41718.2773	5	
A0A0B4K7T7	Rho guanine nucleotide exchange factor 2, isoform G	2.19	5	5	0	404.93732	1	
A0A0B4K7U0	Myosin-7a binding protein, isoform M	8.12	19	54	0	668703.77689	49	
A0A0B4K7V8	Bruchpilot, isoform K	51.55	104	349	1	7678.140219999999	5	
A0A0B4K7X5	glycogenin glucosyltransferase	13.58	7	31	0	178412.73979999998	26	
A0A0B4K885	Kenny, isoform B	17.48	7	9	2	31224.20855	7	
A0A0B4K891	Poly(A) binding protein interacting protein 1, isoform E	16.15	8	14	0	27594.010349999997	10	
A0A0B4KED6	Defective proboscis extension response 12, isoform D	8.72	3	4	0	15448.7273	3	
A0A0B4KEE1	Aldehyde dehydrogenase	23.34	11	18	0	114750.1318	14	
A0A0B4KEE5	Myosin-7a binding protein, isoform Q	12.46	23	62	0	189850.2941	9	
A0A0B4KEH7	CAP, isoform Y	12.79	32	56	0	241115.68342	44	
A0A0B4KEI5	Serrate RNA effector molecule homolog	8.34	9	11	1	20499.12396	9	
A0A0B4KEJ7	Coronin	17.01	9	17	0	85356.17429	13	
A0A0B4KEP1	Reduction in Cnn dots 1, isoform D	4.5	5	7	0	15134.2054	5	
A0A0B4KEP4	Myocyte enhancer factor 2, isoform G	2.35	1	1	0	2429.9006	1	
A0A0B4KER0	Relative of woc, isoform C	3.23	3	3	0	6580.098099999999	3	
A0A0B4KEW6	Amphiphysin, isoform B	47.41	25	90	1	22684.793	1	
A0A0B4KEX6	Jitterbug, isoform M	8.52	25	39	0	99201.00546	31	
A0A0B4KF06	Valine--tRNA ligase	1.52	2	2	0	3659.65087	2	
A0A0B4KF22	Juvenile hormone binding protein 2, isoform E	10.63	3	4	0	6187.923000000001	3	
A0A0B4KF34	Uncharacterized protein, isoform D	5.75	5	8	0	14553.916799999999	5	
