Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F1	Abundances Count: F5: 126, Sample, n/a, SFug_F1	Modifications
Q9V674	Cytochrome P450 6g1	5.53	3	3	0	4088.8392000000003	2	
Q9V6B9	Probable nucleoporin Nup54	7.05	4	8	4	21695.57014	5	
Q9V6G5	Tafazzin	6.08	3	8	1	24504.94701	8	
Q9V6U9	Enoyl-[acyl-carrier-protein] reductase, mitochondrial	56.86	18	67	18	1586486.99049	57	
Q9V6X7	GDP-fucose protein O-fucosyltransferase 1	7.71	4	6	0	36769.25599	6	
Q9V6Y3	Small ribosomal subunit protein bS16m	14.73	2	4	2	29118.17	3	
Q9V773	Probable cytochrome P450 6a20	9.78	6	9	5	26151.80337	7	
Q9V784	SAM50-like protein CG7639	9.93	6	7	6	17860.37369	6	
Q9V7D2	V-type proton ATPase subunit D 1	55.69	14	55	9	1260794.6920099999	41	
Q9V7N5	V-type proton ATPase subunit C	26.56	23	108	0	2378705.93366	90	
Q9V813	S-methyl-5'-thioadenosine phosphorylase	44.98	11	42	0	345240.61061000003	32	
Q9V895	Acidic leucine-rich nuclear phosphoprotein 32 family member A	11.88	3	5	0	35481.0452	5	
Q9V8F5	Bomanin Bicipital 1	36.75	4	14	4	25094.46379	8	
Q9V8M2	Probable cytochrome P450 12b2, mitochondrial	6.54	3	5	3	3341.26414	3	
Q9V8M5	3-hydroxyisobutyrate dehydrogenase, mitochondrial	60.8	13	38	13	701342.78862	29	
Q9V8R9	Protein 4.1 homolog	38.34	63	167	1	2053122.85969	135	
Q9V8Y2	General odorant-binding protein 56a	38.85	5	21	5	596048.52898	19	
Q9V931	General odorant-binding protein 57c	12.75	2	7	2	14285.764900000002	4	
Q9V968	MIP18 family protein galla-1	27.06	5	10	0	14692.8403	7	
Q9V998	Ubiquitin-like protein 5	24.66	2	4	2	25164.85934	4	
Q9V9A7	Probable methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	15.05	8	13	8	22779.35094	9	
Q9V9J3	Tyrosine-protein kinase Src42A	3.09	2	4	1	12156.664	1	
Q9V9S7	Rho GTPase-activating protein 100F	2.47	4	8	0	5312.40884	4	
Q9V9S8	Ferrochelatase, mitochondrial	32.29	13	37	13	726944.69565	34	
Q9V9U4	Deoxyhypusine hydroxylase	12.91	4	10	4	16263.27814	6	
Q9V9X4	Methylthioribose-1-phosphate isomerase 1	25.27	11	19	11	182867.0002	15	
Q9V9Y9	Protein spindle-F	12.64	4	5	0	12860.970000000001	4	
Q9V9Z1	Large ribosomal subunit protein bL32m	8.72	2	4	2	8222.3154	3	
Q9VA37	Protein dj-1beta	84.49	13	53	13	1246177.3355	35	
Q9VA70	Neutral ceramidase	2.41	2	3	0	6694.261399999999	2	
Q9VA91	Small ribosomal subunit protein eS7	53.09	12	58	0	2237744.83267	48	
Q9VAF5	Cadherin-99C	4.4	9	18	9	38392.65436	14	
Q9VAI6	General odorant-binding protein 99b	59.73	7	37	0	669198.0385	23	
Q9VAJ4	General odorant-binding protein 99a	38.03	6	25	0	260615.5551	13	
Q9VAM6	CDGSH iron-sulfur domain protein	52.63	6	47	6	2567814.29488	39	
Q9VAM9	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1	13.41	3	5	3	33627.24866	5	
Q9VAN0	Phosphoserine aminotransferase	32.42	11	57	11	580191.90653	48	
Q9VAP3	Choline transporter-like 2	7.66	6	11	6	25275.3081	9	
Q9VAW5	La-related protein 1	3.41	5	8	0	13259.86844	6	
Q9VAY3	Mitoferrin	7.65	3	7	3	17495.6638	7	
Q9VB46	Adipocyte plasma membrane-associated protein Hemomucin	10.19	6	7	6	21654.333599999998	5	
Q9VB68	Serine protease grass	12.2	5	13	5	24156.548199999997	8	
Q9VBC7	Neuroendocrine convertase 2	5.05	4	7	4	38606.61896	6	
Q9VBG6	Co-chaperone protein HGH1 homolog	1.9	1	1	0	9828.287	1	
Q9VBP9	Nuclear protein localization protein 4 homolog	9.2	6	8	6	17804.70034	6	
Q9VBV3	Protein takeout	9.64	3	11	0	89797.64875	10	
Q9VBV5	Nucleotide exchange factor Sil1	12.82	6	14	6	66569.9917	12	
Q9VC03	Nicotinamide-nucleotide adenylyltransferase	7.2	3	3	3	9199.75527	2	
Q9VC57	Atlastin	4.62	3	6	0	47452.5032	5	
Q9VCA5	Phenylalanine--tRNA ligase beta subunit	2.89	2	3	2	13909.4716	3	
Q9VCA9	Signal peptidase complex subunit 3	18.99	4	19	0	56181.59209	11	
Q9VCC0	Cysteine and histidine-rich domain-containing protein morgana	17.8	6	12	6	59892.930400000005	8	
Q9VCD0	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial	3.1	2	2	2	3179.008	1	
Q9VCE1	Beclin-1-like protein	4.27	2	3	2	2296.83609	3	
Q9VCG3	Putative OPA3-like protein CG13603	25.1	5	13	0	85806.6441	12	
Q9VCH5	Nuclear pore complex protein Nup98-Nup96	5.61	9	26	9	127886.97775	21	
Q9VCI0	RNA exonuclease 2	9.95	2	3	2	1501.32397	2	
Q9VCJ8	Spaetzle-processing enzyme	24.5	10	25	8	154028.99851	18	
Q9VCK0	Eukaryotic translation initiation factor 3 subunit D-1	7.32	5	10	4	113093.1617	10	
Q9VCK1	GILT-like protein 2	3.86	1	1	1	5761.6367	1	
Q9VCR3	Proteoglycan Cow	9.38	6	10	0	13683.091199999999	7	
Q9VCX3	Large ribosomal subunit protein mL45	7.76	3	3	3	2046.79496	3	
Q9VCY3	COP9 signalosome complex subunit 6	17.3	7	13	7	75332.4157	9	
Q9VCZ8	Probable prefoldin subunit 5	34.52	5	13	0	62081.7079	8	
Q9VD09	Retinol-binding protein pinta	14.65	4	6	4	5443.434	4	
Q9VD25	DNA-directed RNA polymerase III subunit RPC6	5.8	2	3	0	4441.6907	3	
Q9VD26	Zinc finger protein-like 1 homolog	17.06	5	9	4	50764.16505	7	
Q9VDC6	Beta-alanyl-bioamine nonribosomal peptide synthetase ebony	7.62	8	15	8	61981.41862	11	
Q9VDD1	DDRGK domain-containing protein 1	13.92	5	6	5	12672.038400000001	4	
Q9VDE4	Protein Bride of doubletime	12.94	5	7	5	21675.129	6	
Q9VDL1	Esterase CG5412	15.41	4	11	4	33754.01464	7	
Q9VDS5	Rho GTPase-activating protein 92B	8.38	7	8	0	21570.78316	7	
Q9VDV3	Nuclear pore complex protein Nup58	10.81	6	17	6	50493.141	12	
Q9VDW3	Dystrophin, isoform B	1.56	3	3	2	11596.8143	2	
Q9VE50	Golgi SNAP receptor complex member 1	6.9	2	4	2	8486.3714	3	
Q9VEA5	DNA-directed RNA polymerase II subunit Rpb4	23.02	4	4	4	5870.271839999999	2	
Q9VEB3	Ribosome production factor 2 homolog	5.62	2	2	2	1103.31939	2	
Q9VEJ0	Thioredoxin-dependent peroxide reductase, mitochondrial	51.28	11	48	11	2570402.11007	36	
Q9VER6	Modular serine protease	8.76	5	10	5	13228.331020000001	6	
Q9VET0	Neuropeptide F	30.39	4	12	0	63889.85327000001	10	
Q9VEX6	ATPase family AAA domain-containing protein 3A homolog	45.03	29	68	29	853883.07967	64	
Q9VEX9	Histone deacetylase complex subunit SAP18	23.33	4	8	0	31228.5328	6	
Q9VEZ3	Protein mini spindles	2.25	4	6	0	385591.43767	3	
Q9VF08	Mitochondrial import inner membrane translocase subunit Tim16	42.55	6	14	0	75554.49877	12	
Q9VF27	NADH dehydrogenase (ubiquinone) 23 kDa subunit	51.61	13	60	13	2161829.58576	53	
Q9VF71	Copper homeostasis protein cutC homolog	32.32	7	26	0	239177.43493	23	
Q9VF89	Large ribosomal subunit protein bL9m	6.05	2	3	2	6965.6743	1	
Q9VFB2	Small ribosomal subunit protein uS10m	11.56	2	5	2	34283.4402	5	
Q9VFC2	Serine protease inhibitor 88Ea	40.98	15	41	14	281962.3509	27	
Q9VFC8	Glycogen [starch] synthase	7.62	6	9	0	18804.0141	6	
Q9VFI9	cGMP-specific 3',5'-cyclic phosphodiesterase	3.76	4	6	0	5173.238	2	
Q9VFJ0	Probable cytochrome P450 313a1	6.1	3	3	3	3691.98799	3	
Q9VFJ2	Large ribosomal subunit protein uL11m	10.71	3	5	3	8899.1851	3	
Q9VFJ3	Serine protease HTRA2, mitochondrial	8.77	4	7	0	33624.183300000004	6	
Q9VFM9	Twinfilin	22.74	7	13	7	33516.5067	10	
Q9VFP1	Probable cytochrome P450 6d5	8.46	5	7	5	37012.0831	5	
Q9VFR0	Protein BCCIP homolog	8.42	4	4	4	11933.76	1	
Q9VFS5	Serine/threonine-protein phosphatase 4 regulatory subunit 3	3.88	5	6	0	22878.0753	6	
Q9VFS8	26S proteasome non-ATPase regulatory subunit 9	40.91	9	19	9	89142.2456	13	
Q9VFW4	Elongator complex protein 6	15.54	3	5	3	23311.88496	4	
Q9VG08	L-dopachrome tautomerase yellow-f2	5.97	3	6	3	3656.11933	3	
Q9VG55	Protein hugin	5.76	1	3	1	560.36053	1	
Q9VG73	Interleukin enhancer-binding factor 2 homolog	13.38	4	10	4	152418.0735	9	
Q9VG74	N-acetylneuraminate-9-phosphate synthase	5.11	2	2	2	1201.79595	2	
Q9VG76	Myc-binding protein	19.34	4	6	4	65903.72607	6	
Q9VG82	Probable cytochrome P450 9f2	5.23	3	5	0	14498.8385	2	
Q9VG97	Inactive glutathione S-transferase D3	32.66	6	15	6	530037.4005	14	
Q9VG98	Glutathione S-transferase D2	11.63	3	10	1	105027.649	4	
Q9VGG5	Cadherin-87A	5.72	11	18	11	46371.36529	12	
Q9VGP4	Importin-9	2.85	3	3	3	4305.5166	2	
Q9VGP6	Prefoldin subunit 3	47.42	8	22	8	136814.28391	19	
Q9VGQ9	Diphthamide biosynthesis protein 3	13.95	1	2	1	11839.806	1	
Q9VGR2	Protein arginine methyltransferase NDUFAF7 homolog, mitochondrial	6.86	3	5	3	15486.1326	4	
Q9VGR7	J domain-containing protein CG6693	9.36	3	3	0	1273.6395	2	
Q9VGS2	Translationally-controlled tumor protein homolog	62.21	10	39	0	1267001.80242	30	
Q9VGU6	GTP:AMP phosphotransferase, mitochondrial	41.2	10	28	10	280837.3528	20	
Q9VGV8	Phosducin-like protein 3	4.63	1	2	1	25517.747	2	
Q9VH07	RuvB-like helicase 1	11.62	4	9	4	118050.13900000001	9	
Q9VH19	Leishmanolysin-like peptidase	2.34	2	3	2	9090.313	1	
Q9VH39	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	27.09	5	9	5	82111.03321	9	
Q9VH69	Small ribosomal subunit protein uS14	48.21	3	7	0	121251.98486000001	5	
Q9VH95	Cytosolic Prostaglandin E synthase	58.15	9	21	9	839653.139	17	
Q9VHA0	Polycomb protein Scm	6.39	5	6	0	8531.16518	3	
Q9VHB3	U6 snRNA phosphodiesterase 1	5.81	2	2	2	5483.50864	2	
Q9VHD2	Probable maleylacetoacetate isomerase 2	16.3	3	7	3	32678.196630000002	6	
Q9VHD3	Probable maleylacetoacetate isomerase 1	15.04	4	6	4	34443.04989	4	
Q9VHG4	ATPase H(+)-transporting accessory protein 2	15.31	5	13	5	224713.0135	13	
Q9VHI7	E3 ubiquitin-protein ligase Iruka	17.89	5	14	5	18314.058	7	
Q9VHK6	Iron-sulfur cluster assembly enzyme IscU	22.73	4	10	4	154212.03415999998	9	
Q9VHN6	Large ribosomal subunit protein bL19m	11.44	4	5	4	29308.8368	4	
Q9VHP0	ATP-dependent RNA helicase bel	23.06	15	40	0	73549.68067	20	
Q9VHR6	Autophagy-related protein 13 homolog	7.46	4	5	4	1189.1876200000002	2	
Q9VHR8	Dipeptidyl peptidase 3	25.06	21	60	21	479593.89372	50	
Q9VHS2	Cytochrome c oxidase subunit 7A, mitochondrial	75.28	8	42	0	1651871.16326	38	
Q9VHS8	Eukaryotic initiation factor 4A-III	7.27	4	9	2	15058.7628	4	
Q9VHV5	ADP-ribosylation factor-like protein 8	17.2	3	4	0	821.0331	1	
Q9VI10	Probable small nuclear ribonucleoprotein Sm D2	38.66	5	16	5	170878.91009999998	9	
Q9VI13	Serine/threonine-protein kinase Pak	1.42	1	2	0	5895.4268	2	
Q9VI25	Neurochondrin homolog	4.29	3	3	3	7065.9062	2	
Q9VI55	E3 UFM1-protein ligase 1 homolog	6.27	6	9	0	38259.3639	6	
Q9VI75	Phosphatidylinositol-binding clathrin assembly protein LAP	49.79	19	103	2	137349.66950000002	14	
Q9VIH3	Microsomal triacylglycerol transfer protein	2.93	3	4	3	8526.919	1	
Q9VIH9	UPAR/Ly6 domain-containing protein CG9338	32.65	4	18	4	126709.42112	12	
Q9VII1	UPAR/Ly6 domain-containing protein bero	47.3	5	22	5	208741.69811000003	15	
Q9VIM5	Actin-related protein 2/3 complex subunit 2	17.94	5	8	0	35369.88675	5	
Q9VIT0	DNA sliding clamp PCNA2	13.73	5	12	5	29198.857799999998	10	
Q9VIV2	Zinc finger protein swm	5.65	6	8	0	14530.88016	5	
Q9VIW3	Ran GTPase-activating protein	13.59	8	15	0	152348.2397	12	
Q9VIZ0	DNA-directed RNA polymerases I and III subunit RPAC2	19.05	2	3	1	11739.8396	3	
Q9VJ26	EF-hand domain-containing protein D2 homolog	46.54	8	20	0	111791.52107	19	
Q9VJ31	Betaine-homocysteine S-methyltransferase	10.88	4	8	4	51357.404370000004	7	
Q9VJ33	Ubiquitin-like protein NEDD8	23.81	2	21	0	116765.84955	19	
Q9VJC7	Elongation factor Ts, mitochondrial	24.84	8	18	8	145137.2292	15	
Q9VJD2	Ragulator complex protein LAMTOR3 homolog	24.19	2	3	0	10767.76285	3	
Q9VJD3	Conserved oligomeric Golgi complex subunit 5	2.4	2	2	0	1959.2065	1	
Q9VJE4	DNA-directed RNA polymerase II subunit RPB11	8.55	1	1	1	2340.5347	1	
Q9VJG0	Xaa-Pro aminopeptidase ApepP	4.24	3	4	3	405.84662	1	
Q9VJG4	Electron transfer flavoprotein regulatory factor 1 homolog	32.94	3	5	3	21864.0909	3	
Q9VJI9	Cytosolic Fe-S cluster assembly factor Nubp1 homolog	20.58	6	13	6	74455.44001	11	
Q9VJL6	Glia maturation factor	5.8	1	3	1	1258.12833	2	
Q9VJQ5	Protein Dr1	8.2	2	4	2	2388.53773	2	
Q9VJY6	Large ribosomal subunit protein eL24	34.84	7	12	0	191627.29825	12	
Q9VJY9	Protein Loquacious	11.61	5	9	0	20935.865999999998	4	
Q9VKA0	UPAR/Ly6 domain-containing protein crok	9.93	1	3	1	3136.40214	2	
Q9VKD3	Cysteine desulfurase, mitochondrial	21.86	9	30	9	228748.50345999998	25	
Q9VKH0	Conserved oligomeric Golgi complex subunit 8	7.02	4	4	4	1757.1211	1	
Q9VKJ8	Alpha-L-iduronidase	3.62	3	3	3	931.87054	2	
Q9VKJ9	Coiled-coil and C2 domain-containing protein 1-like	8.33	8	16	0	59370.61576	15	
Q9VKK1	Enhancer of mRNA-decapping protein 4 homolog	5.47	8	12	8	11760.3011	6	
Q9VKV5	CD2 antigen cytoplasmic tail-binding protein 2 homolog	9.4	4	4	4	17522.5652	3	
Q9VKX4	Small ribosomal subunit protein uS7m	16.97	4	6	0	13235.577099999999	3	
Q9VKY2	Cullin-associated NEDD8-dissociated protein 1	2.56	4	5	0	8498.0882	2	
Q9VL00	Ubiquitin thioesterase otubain-like	11.45	3	5	3	17805.101000000002	3	
Q9VL13	MOB kinase activator-like 3	5.0	1	2	1	2859.3864	2	
Q9VL18	Probable elongation factor 1-delta	58.59	17	35	17	1059659.79745	33	
Q9VL78	FK506-binding protein 59	55.81	26	79	0	822072.29686	68	
Q9VLF6	UPF0585 protein CG18661	11.71	3	3	0	27165.108	2	
Q9VLJ6	Angiotensin-converting enzyme-related protein	10.63	8	10	0	45178.45159	7	
Q9VLM8	Alanine--tRNA ligase, cytoplasmic	10.14	10	13	10	105159.95847	12	
Q9VLP3	Guanine nucleotide exchange factor MSS4 homolog	46.72	5	18	5	107310.52717	14	
Q9VLR5	RNA polymerase II transcriptional coactivator	25.45	3	6	3	115288.74799999999	5	
Q9VLS9	Beta-lactamase-like protein 2 homolog	21.58	5	12	5	180238.4749	6	
Q9VLT8	WASH complex subunit 3	10.23	2	3	2	6626.873	3	
Q9VLU0	Barrier-to-autointegration factor	74.44	5	26	0	739044.24575	22	
Q9VLU4	Serine protease inhibitor 28Dc	4.29	3	3	3	37991.48156	3	
Q9VLV5	Probable small nuclear ribonucleoprotein E	27.66	3	7	3	111471.2056	5	
Q9VLV7	Protein spaetzle 3	6.06	3	3	3	2929.94862	2	
Q9VM33	Elongation factor G, mitochondrial	4.7	4	4	4	9608.017	2	
Q9VM65	FGFR1 oncogene partner 2 homolog	16.51	6	7	0	12118.91665	4	
Q9VM71	5'-3' exoribonuclease 2 homolog	0.88	1	1	1	749.3695	1	
Q9VMA2	Probable galactose-1-phosphate uridylyltransferase	11.14	5	9	0	21885.4359	7	
Q9VMA7	Transport and Golgi organization protein 1	7.41	12	14	0	20442.34267	7	
Q9VMC8	PHD finger-like domain-containing protein 5A	33.33	5	10	5	156124.0883	8	
Q9VMD9	Tiggrin	12.16	31	55	0	193102.46837	41	
Q9VMG0	Arylalkylamine N-acetyltransferase-like 2	10.65	3	3	3	1243.33014	2	
Q9VMM6	Protein obstructor-E	35.34	7	17	7	92929.34736	13	
Q9VMQ5	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	5.87	3	3	3	3641.97636	3	
Q9VMQ7	Elongator complex protein 4	3.43	2	3	2	45148.975	3	
Q9VMR8	Protein Turandot M	30.53	3	5	0	140229.5443	5	
Q9VMT5	Probable cytochrome P450 28d1	15.54	9	20	9	78742.07333	17	
Q9VMU4	Large ribosomal subunit protein eL43	27.17	3	9	0	30346.7736	9	
Q9VMU5	Protein quick-to-court	9.57	8	10	0	9606.22904	9	
Q9VMW7	Inosine triphosphate pyrophosphatase	49.74	11	23	11	318360.30212999997	21	
Q9VMW9	GDP-mannose 4,6 dehydratase	4.05	2	2	2	3647.1926	1	
Q9VMX0	Large ribosomal subunit protein bL28m	9.93	3	4	0	4927.616300000001	3	
Q9VMY1	Large ribosomal subunit protein uL24m	21.46	7	7	7	8923.55784	6	
Q9VMY9	Guanine deaminase	8.93	4	6	4	32293.0858	4	
Q9VN12	Probable sodium/potassium/calcium exchanger CG1090	3.0	1	3	0	6480.5754	3	
Q9VN13	Sideroflexin-1-3	16.51	5	12	5	128529.60650000001	10	
Q9VN14	Contactin	17.77	24	48	24	293446.17346	32	
Q9VN19	Golgi to ER traffic protein 4 homolog	13.57	4	6	0	13504.261600000002	4	
Q9VN25	Eukaryotic translation initiation factor 3 subunit A	5.61	8	12	8	30379.2512	7	
Q9VN50	Eukaryotic translation initiation factor 3 subunit F-1	29.29	7	13	7	108306.9625	9	
Q9VN91	MORN repeat-containing protein 4 homolog	47.98	9	46	9	297854.06523	36	
Q9VN93	Cathepsin F	23.62	16	36	13	758860.14046	31	
Q9VN95	Enolase-phosphatase E1	17.97	4	13	4	141288.712	12	
Q9VNA4	Uncharacterized protein CG1161	9.25	2	4	0	853.7910999999999	2	
Q9VNA5	Proteasome subunit beta type-4	27.99	5	5	5	219977.8125	4	
Q9VND8	GTP-binding protein Rheb homolog	26.37	6	15	6	214377.136	15	
Q9VNE2	Protein krasavietz	22.04	12	30	12	273252.9275	25	
Q9VNE9	Large ribosomal subunit protein uL13	24.39	7	12	3	205418.575	8	
Q9VNI3	Histone PARylation factor 1	9.8	4	4	4	6552.41	3	
Q9VP48	Ras-related protein Rab-26	12.89	5	12	0	20547.3062	5	
Q9VP61	Acetyl-coenzyme A synthetase	13.58	10	14	0	36308.38702	12	
Q9VPC1	Distal membrane arm assembly component 2	6.34	2	2	2	41875.4309	2	
Q9VPH7	Eukaryotic peptide chain release factor subunit 1	3.65	2	3	0	12971.7928	3	
Q9VPL3	Large ribosomal subunit protein uL10m	12.5	4	7	4	38601.8226	6	
Q9VPQ2	DnaJ homolog shv	8.76	4	6	4	18673.0954	3	
Q9VQ29	Cytochrome b-c1 complex subunit Rieske, mitochondrial	42.17	8	52	8	3077356.73275	41	
Q9VQ62	NPC intracellular cholesterol transporter 2 homolog a	47.3	5	25	5	316876.24323	19	
Q9VQ79	Putative apoptosis-inducing factor 1, mitochondrial	11.91	8	11	0	42580.922360000004	8	
Q9VQ91	Tudor and KH domain-containing protein homolog	11.46	6	9	6	13136.49985	7	
Q9VQ93	Golgi phosphoprotein 3 homolog sauron	9.86	4	6	4	53541.9815	5	
Q9VQC4	Glycerate kinase	13.14	9	14	0	81725.94967	12	
Q9VQF7	Bacchus	38.16	4	21	4	261983.8062	19	
Q9VQG4	Congested-like trachea protein	24.84	9	25	8	292131.87864999997	23	
Q9VQQ0	Serine/threonine-protein phosphatase 2A activator	17.59	7	17	7	240591.0477	14	
Q9VQX4	Nicotinate phosphoribosyltransferase	6.85	4	7	0	34718.0377	6	
Q9VR35	Eukaryotic translation initiation factor 4E-binding protein Mextli	12.56	9	22	0	144167.51217	19	
Q9VR59	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase	2.0	3	3	0	559.0186	1	
Q9VR81	N-acetylglucosamine-6-phosphate deacetylase	3.84	2	4	0	4639.9699	3	
Q9VR89	RNA-binding protein pno1	6.25	2	3	2	15098.528	1	
Q9VR94	General odorant-binding protein 19a	10.27	2	3	2	24223.13992	3	
Q9VRJ9	Ubiquitin thioesterase Otu1	14.41	5	17	0	65794.9521	11	
Q9VRL2	Probable Golgi SNAP receptor complex member 2	13.43	3	6	3	531.7033	1	
Q9VRL3	Probable prefoldin subunit 4	14.49	3	6	3	105957.725	4	
Q9VRP9	E3 ubiquitin-protein ligase Bre1	5.56	7	8	0	13101.81483	7	
Q9VRQ9	Glutaminyl-peptide cyclotransferase	5.88	3	8	3	10312.31037	4	
Q9VRV7	Splicing factor 3B subunit 6	30.58	4	7	4	30450.24204	6	
Q9VRZ7	Ubiquinol-cytochrome c reductase complex assembly factor 1	24.32	6	12	6	52773.35874	7	
Q9VS34	Large ribosomal subunit protein eL18	26.06	4	16	0	319791.31783	12	
Q9VS97	Peptidoglycan-recognition protein SD	12.9	3	4	3	27000.9446	3	
Q9VSA3	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	47.02	20	86	20	1500113.8698200001	70	
Q9VSF3	Nedd8-conjugating enzyme UbcE2M	25.97	6	11	0	55867.9862	9	
Q9VSH4	Cleavage and polyadenylation specificity factor subunit 6	3.37	2	2	1	1974.5599	1	
Q9VSJ8	Exocyst complex component 7	10.53	8	12	8	31824.82862	8	
Q9VSK9	Pseudouridylate synthase 7 homolog	7.77	6	6	6	17425.382550000002	5	
Q9VSL3	Pyrimidodiazepine synthase	55.97	11	73	10	2348948.21473	51	
Q9VSR3	Translational regulator orb2	7.39	4	5	0	4799.195	1	
Q9VSS1	Protein Pixie	5.56	4	4	4	18388.3023	3	
Q9VSS2	Signal recognition particle subunit SRP68	12.42	8	13	8	50794.43229	11	
Q9VSU7	Vesicle transport protein USE1	22.8	6	9	6	24643.17885	8	
Q9VSY4	Alpha-tubulin N-acetyltransferase 1	33.84	18	61	8	627204.76828	46	
Q9VSY6	Phosphoserine phosphatase	30.0	7	20	7	115541.93017	17	
Q9VSZ6	Queuine tRNA-ribosyltransferase accessory subunit 2	1.91	1	1	1	2575.2527	1	
Q9VT70	Nuclear distribution protein nudE homolog	7.26	2	2	0	13089.595000000001	2	
Q9VTE0	Biogenesis of lysosome-related organelles complex 1 subunit 2	4.4	1	2	1	14266.343499999999	2	
Q9VTE5	Probable prefoldin subunit 2	35.66	5	16	0	188857.33	15	
Q9VTE9	Nedd8-activating enzyme E1 regulatory subunit	13.93	7	9	0	47849.700659999995	5	
Q9VTF9	Ubiquitin fusion degradation protein 1 homolog	8.23	4	9	4	116817.03464	8	
Q9VTJ4	Putative alpha-L-fucosidase	4.45	3	4	3	8123.0740000000005	2	
Q9VTJ8	Mitochondrial import inner membrane translocase subunit TIM14	15.25	2	3	0	23832.662	3	
Q9VTM6	UPAR/Ly6 domain-containing protein crim	31.65	4	11	4	54684.1457	10	
Q9VTP4	Large ribosomal subunit protein uL1	40.55	9	32	9	681554.62266	31	
Q9VTU3	Rho GTPase-activating protein 68F	15.76	8	12	0	48124.44688	10	
Q9VTZ5	Transferrin 2	17.95	16	27	16	115436.14934999999	19	
Q9VTZ6	Phosphomannomutase	21.26	5	11	5	95012.55237	8	
Q9VU08	Intermembrane lipid transfer protein Vps13D	0.38	2	10	2	168091.81879999998	2	
Q9VU58	Neuropeptide-like 2	66.28	6	133	0	4054386.5267399997	82	
Q9VU68	Actin-interacting protein 1	21.38	13	35	13	327676.3805	30	
Q9VU70	Tetratricopeptide repeat protein 36 homolog	17.84	4	6	4	20651.2036	5	
Q9VU84	Drebrin-like protein	12.99	8	24	8	203349.48753	18	
Q9VU95	Alanine--glyoxylate aminotransferase 2-like	14.17	6	12	6	71857.72032	10	
Q9VUJ0	Large ribosomal subunit protein mL39	16.82	5	7	5	19254.1427	6	
Q9VUK8	Glycine--tRNA ligase	17.12	14	37	14	780164.52666	27	
Q9VUR3	Probable aminoacyl tRNA synthase complex-interacting multifunctional protein 2	16.47	7	12	0	46634.86747	10	
Q9VUY9	Phosphoglucomutase 1	30.36	18	47	18	510835.24309	35	
Q9VUZ1	Probable trafficking protein particle complex subunit 2	5.76	1	1	1	4439.1	1	
Q9VV36	Retinin	31.94	8	155	8	2472589.37143	87	
Q9VV43	Tubulin polymerization-promoting protein homolog	53.12	9	54	0	491781.88171	41	
Q9VV72	Multiple inositol polyphosphate phosphatase 1	22.91	12	33	12	254319.38638	27	
Q9VV74	Survival motor neuron protein	11.95	3	4	3	9363.564320000001	4	
Q9VVA0	Cold shock domain-containing protein CG9705	13.29	2	5	0	6774.0874	4	
Q9VVA6	Nuclear migration protein nudC	27.41	10	34	10	369534.80258	30	
Q9VVB4	Coiled-coil domain-containing protein 22 homolog	10.99	6	10	6	22373.54177	8	
Q9VVE2	Protein rogdi	26.49	7	15	7	220574.34414	11	
Q9VVE5	RNA-binding protein Musashi homolog Rbp6	12.2	4	7	0	17248.91746	5	
Q9VVG6	Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial	12.69	4	6	0	6638.7073	5	
Q9VVH3	MICOS complex subunit MIC13 homolog QIL1	49.18	5	14	5	798292.75959	11	
Q9VVI2	Enhancer of mRNA-decapping protein 3	8.24	6	7	6	17521.414099999998	6	
Q9VVI9	Charged multivesicular body protein 5	52.65	10	29	0	299333.27662	21	
Q9VVN2	Small ribosomal subunit protein mS26	17.78	4	6	4	15864.966	2	
Q9VVU5	COP9 signalosome complex subunit 1b	5.71	3	5	3	36335.658500000005	3	
Q9VVW3	Sideroflexin-2	10.7	4	10	4	27978.8796	6	
Q9VVW8	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	16.0	4	8	4	33854.55567	6	
Q9VVY3	Glycogen-binding subunit 76A	6.17	4	8	0	9078.065200000001	5	
Q9VW12	UPF0389 protein CG9231	41.6	5	24	0	274643.99335	16	
Q9VW14	rRNA methyltransferase 3, mitochondrial	18.18	7	11	7	19736.02727	5	
Q9VW26	Ornithine aminotransferase, mitochondrial	18.1	8	17	8	130147.82812	13	
Q9VW56	Probable prefoldin subunit 6	44.8	6	30	0	174091.80312	22	
Q9VWA1	Clathrin light chain	41.55	12	58	0	1322000.9526	48	
Q9VWA8	Protein FRG1 homolog	11.07	4	7	4	17672.1216	6	
Q9VWB1	DCN1-like protein 4	8.87	2	3	1	17455.9816	3	
Q9VWE0	Cytokine receptor	0.78	1	2	1	1353.51368	2	
Q9VWG3	Small ribosomal subunit protein eS10B	28.12	7	15	0	152638.7101	14	
