Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F1	Abundances Count: F5: 126, Sample, n/a, SFug_F1	Modifications
Q9VFF0	Mitochondrial-processing peptidase subunit beta	67.02	24	158	24	7625632.91249	119	
Q9VFI3	GEO08281p1	21.15	1	1	1	5425.2837	1	
Q9VFM0	GH19262p	4.96	3	5	3	6337.98118	3	
Q9VFN7	GEO07678p1	20.13	4	19	4	246781.19358	16	
Q9VFN9	GEO07882p1	15.32	2	6	2	20743.53283	4	
Q9VFP0	RH07106p	17.84	7	11	7	57152.9042	10	
Q9VFP6	Inositol polyphosphate 1-phosphatase	39.73	14	39	14	733317.23866	29	
Q9VFQ9	Dipeptidase B, isoform A	18.7	11	26	11	366912.52598	23	
Q9VFS1	Adenosine deaminase	6.77	5	9	5	17332.2127	6	
Q9VFS4	Cilia- and flagella-associated protein 36	13.23	4	7	4	29534.11744	5	
Q9VFT4	AT27578p	10.58	6	11	6	17030.29776	8	
Q9VFU7	Sidestep IV, isoform C	3.8	4	6	4	16785.81064	5	
Q9VFV1	RE55542p	2.83	2	2	2	21545.749	2	
Q9VFV9	DnaJ-like-2, isoform A	55.83	19	59	19	1172451.2333	54	
Q9VFZ4	Methanethiol oxidase	9.67	5	11	5	79993.92809999999	10	
Q9VG00	Cytochrome c oxidase assembly protein COX20, mitochondrial	15.45	3	5	3	14030.9167	4	
Q9VG01	RE12073p	5.26	3	3	3	3055.6452	2	
Q9VG04	Protein MEMO1	10.85	4	6	4	6154.6005	3	
Q9VG06	peptidyl-tRNA hydrolase	5.76	1	1	1	5203.8745	1	
Q9VG23	GH22994p	65.12	12	32	1	994394.6222999999	27	
Q9VG26	MIP06012p	38.03	8	22	8	435407.9416	19	
Q9VG28	Beaten path Vc	2.36	1	3	1	451.91818	1	
Q9VG31	Malic enzyme	16.64	15	41	0	428809.62273	36	
Q9VG33	Sulfurtransferase	73.64	6	14	6	514936.1725	14	
Q9VG42	Glycine N-methyltransferase	15.57	5	8	5	77322.2574	7	
Q9VG44	RE14195p	2.84	2	2	2	488.58386	1	
Q9VG51	Sorting nexin-3	55.69	9	28	9	158436.01364	23	
Q9VG62	Toys are us	1.44	1	1	1	1983.6079	1	
