Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128N, Sample, n/a, SF1g_M1	Abundances Count: F5: 128N, Sample, n/a, SF1g_M1	Modifications
Q9VCZ8	Probable prefoldin subunit 5	34.52	5	13	0	75679.43055	8	
Q9VD09	Retinol-binding protein pinta	14.65	4	6	4	9217.475199999999	5	
Q9VD25	DNA-directed RNA polymerase III subunit RPC6	5.8	2	3	0	5515.336450000001	3	
Q9VD26	Zinc finger protein-like 1 homolog	17.06	5	9	4	49614.1849	7	
Q9VDC6	Beta-alanyl-bioamine nonribosomal peptide synthetase ebony	7.62	8	15	8	76322.8292	12	
Q9VDD1	DDRGK domain-containing protein 1	13.92	5	6	5	17632.57227	5	
Q9VDE4	Protein Bride of doubletime	12.94	5	7	5	43823.8755	6	
Q9VDL1	Esterase CG5412	15.41	4	11	4	36940.468	7	
Q9VDS5	Rho GTPase-activating protein 92B	8.38	7	8	0	21917.741299999998	6	
Q9VDV3	Nuclear pore complex protein Nup58	10.81	6	17	6	56005.833399999996	14	
Q9VDW3	Dystrophin, isoform B	1.56	3	3	2	10506.423	1	
Q9VE50	Golgi SNAP receptor complex member 1	6.9	2	4	2	8860.10155	3	
Q9VE61	E3 ubiquitin-protein ligase RNF181 homolog	5.44	1	2	0	624.25995	1	
Q9VEA5	DNA-directed RNA polymerase II subunit Rpb4	23.02	4	4	4	9144.15205	3	
Q9VEB3	Ribosome production factor 2 homolog	5.62	2	2	2	1207.2929	2	
Q9VEJ0	Thioredoxin-dependent peroxide reductase, mitochondrial	51.28	11	48	11	2789497.42364	39	
Q9VER6	Modular serine protease	8.76	5	10	5	15104.252069999999	6	
Q9VET0	Neuropeptide F	30.39	4	12	0	98864.49797	10	
Q9VEX6	ATPase family AAA domain-containing protein 3A homolog	45.03	29	68	29	855824.23846	61	
Q9VEX9	Histone deacetylase complex subunit SAP18	23.33	4	8	0	40022.3843	6	
Q9VEZ3	Protein mini spindles	2.25	4	6	0	311144.76594	3	
Q9VF08	Mitochondrial import inner membrane translocase subunit Tim16	42.55	6	14	0	83153.734	11	
Q9VF27	NADH dehydrogenase (ubiquinone) 23 kDa subunit	51.61	13	60	13	2265986.4906	52	
Q9VF71	Copper homeostasis protein cutC homolog	32.32	7	26	0	318410.02934	23	
Q9VF89	Large ribosomal subunit protein bL9m	6.05	2	3	2	7355.381	1	
Q9VFB2	Small ribosomal subunit protein uS10m	11.56	2	5	2	35116.975829999996	5	
Q9VFC2	Serine protease inhibitor 88Ea	40.98	15	41	14	314238.45443	30	
Q9VFC8	Glycogen [starch] synthase	7.62	6	9	0	27664.471530000003	9	
Q9VFI9	cGMP-specific 3',5'-cyclic phosphodiesterase	3.76	4	6	0	4216.2937999999995	3	
Q9VFJ0	Probable cytochrome P450 313a1	6.1	3	3	3	6831.9242	3	
Q9VFJ2	Large ribosomal subunit protein uL11m	10.71	3	5	3	12181.221640000002	4	
Q9VFJ3	Serine protease HTRA2, mitochondrial	8.77	4	7	0	37760.73174	7	
Q9VFM9	Twinfilin	22.74	7	13	7	48493.21433	11	
Q9VFP1	Probable cytochrome P450 6d5	8.46	5	7	5	22357.451399999998	5	
Q9VFR0	Protein BCCIP homolog	8.42	4	4	4	9732.3321	2	
Q9VFS5	Serine/threonine-protein phosphatase 4 regulatory subunit 3	3.88	5	6	0	39855.7825	6	
Q9VFS8	26S proteasome non-ATPase regulatory subunit 9	40.91	9	19	9	129934.74388	16	
Q9VFW4	Elongator complex protein 6	15.54	3	5	3	25246.4311	4	
Q9VG08	L-dopachrome tautomerase yellow-f2	5.97	3	6	3	7049.1943	4	
Q9VG55	Protein hugin	5.76	1	3	1	599.7249	1	
Q9VG73	Interleukin enhancer-binding factor 2 homolog	13.38	4	10	4	160516.02406999998	9	
Q9VG74	N-acetylneuraminate-9-phosphate synthase	5.11	2	2	2	2118.7359	2	
Q9VG76	Myc-binding protein	19.34	4	6	4	70598.84882	6	
Q9VG82	Probable cytochrome P450 9f2	5.23	3	5	0	10965.7619	4	
Q9VG97	Inactive glutathione S-transferase D3	32.66	6	15	6	680499.314	14	
Q9VG98	Glutathione S-transferase D2	11.63	3	10	1	84298.87	4	
Q9VGG5	Cadherin-87A	5.72	11	18	11	66490.85365	13	
Q9VGP4	Importin-9	2.85	3	3	3	4838.7515	2	
Q9VGP6	Prefoldin subunit 3	47.42	8	22	8	170008.68170000002	18	
Q9VGQ9	Diphthamide biosynthesis protein 3	13.95	1	2	1	9587.618	1	
Q9VGR2	Protein arginine methyltransferase NDUFAF7 homolog, mitochondrial	6.86	3	5	3	18588.2208	4	
Q9VGR7	J domain-containing protein CG6693	9.36	3	3	0	3248.4686	2	
Q9VGS2	Translationally-controlled tumor protein homolog	62.21	10	39	0	1349023.56027	33	
Q9VGU6	GTP:AMP phosphotransferase, mitochondrial	41.2	10	28	10	297780.1802	21	
Q9VGV8	Phosducin-like protein 3	4.63	1	2	1	23010.057	2	
Q9VH07	RuvB-like helicase 1	11.62	4	9	4	129198.50499999999	9	
Q9VH19	Leishmanolysin-like peptidase	2.34	2	3	2	11806.682	1	
Q9VH39	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	27.09	5	9	5	67095.28802	9	
Q9VH69	Small ribosomal subunit protein uS14	48.21	3	7	0	129890.69551	5	
Q9VH95	Cytosolic Prostaglandin E synthase	58.15	9	21	9	1083544.8651700001	18	
Q9VHA0	Polycomb protein Scm	6.39	5	6	0	6158.5197	3	
Q9VHB3	U6 snRNA phosphodiesterase 1	5.81	2	2	2	7906.6389	2	
Q9VHD2	Probable maleylacetoacetate isomerase 2	16.3	3	7	3	50380.5299	6	
Q9VHD3	Probable maleylacetoacetate isomerase 1	15.04	4	6	4	31322.02152	5	
Q9VHG4	ATPase H(+)-transporting accessory protein 2	15.31	5	13	5	252828.79963999998	13	
Q9VHI7	E3 ubiquitin-protein ligase Iruka	17.89	5	14	5	21065.1822	7	
Q9VHK6	Iron-sulfur cluster assembly enzyme IscU	22.73	4	10	4	141849.603	9	
Q9VHN6	Large ribosomal subunit protein bL19m	11.44	4	5	4	29957.010000000002	4	
Q9VHP0	ATP-dependent RNA helicase bel	23.06	15	40	0	113540.16685	26	
Q9VHR6	Autophagy-related protein 13 homolog	7.46	4	5	4	1620.7803	1	
Q9VHR8	Dipeptidyl peptidase 3	25.06	21	60	21	558823.9125	47	
Q9VHS2	Cytochrome c oxidase subunit 7A, mitochondrial	75.28	8	42	0	1683866.84941	40	
Q9VHS8	Eukaryotic initiation factor 4A-III	7.27	4	9	2	14741.3193	4	
Q9VHV5	ADP-ribosylation factor-like protein 8	17.2	3	4	0	346.1218	1	
Q9VI10	Probable small nuclear ribonucleoprotein Sm D2	38.66	5	16	5	133780.04655	13	
Q9VI13	Serine/threonine-protein kinase Pak	1.42	1	2	0	7983.2403	2	
Q9VI25	Neurochondrin homolog	4.29	3	3	3	6900.12454	2	
Q9VI55	E3 UFM1-protein ligase 1 homolog	6.27	6	9	0	35607.1582	7	
Q9VI75	Phosphatidylinositol-binding clathrin assembly protein LAP	49.79	19	103	2	127345.8297	14	
Q9VIH3	Microsomal triacylglycerol transfer protein	2.93	3	4	3	9310.135	1	
Q9VIH9	UPAR/Ly6 domain-containing protein CG9338	32.65	4	18	4	257378.5074	13	
Q9VII1	UPAR/Ly6 domain-containing protein bero	47.3	5	22	5	416372.97172	18	
Q9VIM5	Actin-related protein 2/3 complex subunit 2	17.94	5	8	0	37728.14223	7	
Q9VIT0	DNA sliding clamp PCNA2	13.73	5	12	5	33481.5724	10	
Q9VIV2	Zinc finger protein swm	5.65	6	8	0	17455.2777	4	
Q9VIW3	Ran GTPase-activating protein	13.59	8	15	0	147343.5766	12	
Q9VIZ0	DNA-directed RNA polymerases I and III subunit RPAC2	19.05	2	3	1	11889.56508	3	
Q9VJ26	EF-hand domain-containing protein D2 homolog	46.54	8	20	0	135775.41126	19	
