Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 129N, Sample, n/a, Earth_M2	Abundances Count: F5: 129N, Sample, n/a, Earth_M2	Modifications
Q9VHJ5	Carbonic anhydrase	4.31	1	1	1	7430.0903	1	
Q9VHJ7	LD41978p	3.96	3	4	3	29053.1865	4	
Q9VHL2	T-complex protein 1 subunit eta	43.01	21	50	21	2037411.9654299999	42	
Q9VHM3	LD30467p	9.09	4	4	4	23352.7483	3	
Q9VHN4	GH14121p	10.92	3	3	3	39024.008	3	
Q9VHN7	transketolase	35.46	19	30	1	593665.7208	25	
Q9VHQ0	Large ribosomal subunit protein mL66	12.26	2	3	2	3817.5227	1	
Q9VHR5	Veneno	3.27	2	2	2	868.16986	1	
Q9VHT3	CG9617 protein	23.6	5	7	5	169140.18660000002	7	
Q9VHT5	Large ribosomal subunit protein uL1m	13.56	5	6	5	52579.5116	6	
Q9VHX2	GH08043p	7.23	4	5	4	39584.7212	5	
Q9VHX4	LD24679p	68.09	21	107	21	8974124.6142	97	
Q9VI04	Beta-ureidopropionase	9.84	3	5	3	79567.289	5	
Q9VI09	GH14494p	52.48	7	35	7	1278973.14184	33	
Q9VI21	Dementin, isoform D	3.92	3	3	0	15041.7868	3	
Q9VI24	LD25151p	3.61	1	1	1	8454.093	1	
Q9VI53	LD44267p	9.24	4	6	4	158380.263	6	
Q9VI57	Dephospho-CoA kinase domain-containing protein	3.81	1	1	1	12702.112	1	
Q9VI64	LD30995p	48.16	14	49	14	2375003.6498	44	
Q9VI66	GH28833p	7.57	2	3	2	32348.1969	3	
Q9VIB5	Carboxylic ester hydrolase	3.5	2	2	2	9826.672999999999	2	
Q9VIE7	GMP synthase (glutamine-hydrolyzing)	2.93	2	2	2	28355.85385	2	
Q9VIE8	Aconitate hydratase, mitochondrial	65.82	43	300	37	21658482.02242	273	
Q9VIF2	GM01519p	9.72	5	6	5	216944.36700000003	6	
Q9VIG0	Malectin domain-containing protein	14.12	5	9	5	188329.9434	8	
Q9VIH1	CG9273 protein	16.26	4	5	4	51673.47964	5	
Q9VII5	GEO08323p1	20.75	4	7	4	120931.2178	7	
Q9VII9	Glyoxylate reductase/hydroxypyruvate reductase	6.44	2	2	0	122746.93400000001	2	
Q9VIJ3	FI14214p	17.78	3	4	1	13600.179	2	
Q9VIJ5	GEO05038p1	9.7	1	1	1	2921.028	1	
Q9VIK0	Alpha-methylacyl-CoA racemase, isoform A	7.77	3	4	3	14349.5059	4	
Q9VIK6	Centrocortin, isoform A	11.77	10	11	10	119932.8757	10	
Q9VIL2	LD19544p	14.9	4	8	4	125758.5949	8	
Q9VIM0	Lysosomal Pro-X carboxypeptidase	11.58	6	9	6	215857.04859999998	9	
Q9VIN9	Small ribosomal subunit protein mS40	11.27	2	3	2	87120.29	3	
Q9VIQ5	RH02620p	40.64	8	10	8	191351.28667	8	
Q9VIQ6	FI17342p1	4.82	1	2	1	10679.583	2	
Q9VIQ8	Cytochrome c oxidase subunit 4	51.65	12	56	12	1828978.4915	47	
Q9VIS4	tRNA-dihydrouridine(47) synthase [NAD(P)(+)]	6.79	4	4	4	17668.6474	4	
Q9VIU3	FI23988p1	4.24	2	2	2	632.1265	1	
Q9VIV6	GH04973p	11.11	4	6	4	150486.5208	6	
Q9VIW6	small monomeric GTPase	8.59	2	2	2	30945.3704	2	
Q9VIW9	alkaline phosphatase	4.7	2	2	2	842.5661	1	
