Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 129N, Sample, n/a, Earth_M3	Abundances Count: F8: 129N, Sample, n/a, Earth_M3	Modifications
Q9VD30	GH05294p	79.44	14	60	14	10513008.8865	45	
Q9VD55	Holocytochrome c-type synthase	3.56	1	1	1	21190.91	1	
Q9VD58	Isocitric dehydrogenase subunit beta	52.7	17	90	17	22166265.7228	79	
Q9VD64	ADP-ribosylation factor-like protein 3	35.75	5	7	4	185945.3521	6	
Q9VD68	GH19849p	6.84	3	3	3	48401.403999999995	3	
Q9VD72	Vacuolar-sorting protein SNF8	3.15	1	1	1	49126.13	1	
Q9VDC0	GH01837p	24.0	5	14	5	824123.78227	13	
Q9VDC1	Deoxyribonuclease TATDN1	5.33	2	2	2	14673.928399999999	2	
Q9VDC2	isopentenyl-diphosphate Delta-isomerase	10.55	2	2	2	10446.015329999998	2	
Q9VDC3	AP complex subunit sigma	44.37	6	14	6	1397149.9567	13	
Q9VDE2	oxaloacetate tautomerase	44.09	8	15	8	1529234.9319	15	
Q9VDF4	Cortactin, isoform A	36.31	23	28	23	1484077.9747	25	
Q9VDH3	GH08630p	58.77	13	36	13	3555160.20368	34	
Q9VDI1	LD46328p	56.88	24	81	1	4461042.3078	72	
Q9VDI3	Myosin-2 essential light chain	17.45	3	3	3	111914.22899999999	3	
Q9VDI5	Uncharacterized protein, isoform A	33.1	6	14	4	239285.89856	13	
Q9VDK2	GH15831p	3.87	3	3	2	64180.9743	3	
Q9VDK7	Signal recognition particle subunit SRP72	36.62	21	30	21	623219.0675	26	
Q9VDK9	GH12359p	4.89	3	4	3	162806.771	4	
Q9VDL0	Signal recognition particle 14 kDa protein	20.18	3	4	3	118990.474	4	
Q9VDL5	GEO09602p1	52.24	3	3	3	86467.1064	3	
Q9VDP9	S-formylglutathione hydrolase	21.33	5	13	1	645230.2017	9	
Q9VDQ3	Identity crisis	8.06	4	4	4	44009.6426	4	
Q9VDT1	Short-chain specific acyl-CoA dehydrogenase, mitochondrial	30.12	11	21	11	1351533.767	20	
Q9VDT4	Uncharacterized protein, isoform A	9.39	1	2	1	16767.922599999998	2	
Q9VDT5	Carboxypeptidase	25.73	10	18	10	1377981.00806	18	
Q9VDU1	Acyl-CoA synthetase X3	8.36	4	5	3	35063.2881	5	
Q9VDU7	nicotinamidase	31.37	11	16	11	735375.311	16	
Q9VDV2	AT06125p	8.26	4	4	3	50900.187	3	
Q9VDY8	MIP08680p	74.26	18	75	2	7630740.17071	65	
Q9VDZ8	Mitochondrial import inner membrane translocase subunit TIM44	42.76	23	47	0	5310262.8426	46	
Q9VE08	GH10002p	13.62	3	3	3	47345.674499999994	3	
Q9VE12	LD27322p	19.44	7	8	7	87531.63380000001	6	
Q9VE24	N-sulfoglucosamine sulfohydrolase	8.59	5	6	5	128281.098	4	
Q9VE31	GEO12059p1	18.92	2	2	2	3757.0873	2	
Q9VE52	Cleavage stimulation factor 64 kD subunit	14.08	6	8	6	100670.58189999999	7	
Q9VE56	FI17806p1	18.88	4	7	4	611786.6625	5	
Q9VE57	GEO10850p1	6.9	1	2	1	41092.339	2	
